MFD140101200E;28;0,37
MFD1401012B0E;8;1,6813
MFD140101600E;4;0,0001
MFD1401016A0E;3;0,0001
MFD1401016B0E;29;0,0001
MFD140102900E;10;4,5494
MFD1401029B0E;26;4,8461
MFD140106000E;1;4,8461
MFD140107200D;9;0,0001
MFD140107600E;5;1,0879
MFD1401076A0E;9;1,1868
MFD1401076B0E;8;1,1868
MFD1401076C0E;12;1,1868
MFD140109800E;12;0,0001
MFD140116400E;10;0,4945
MFD1401164A0E;12;1,1868
MFD1401164B0E;23;1,6813
MFD140121200D;1;0,0001
MFD1401212D0D;23;0,0001
MFD1401213A0C;1;0,0001
MFD1401213C0C;15;0,0001
MFD140131700E;16;0,0001
MFD140132700E;5;0,0001
MFD1401327A0E;19;0,0001
MFD1401327B0E;4;0,0001
MFD140133000E;9;0,0001
MFD140134000E;6;0,0001
MFD1402016A0C;2;2,0769
MFD140202900C;2;2,5714
MFD1402029B0C;2;5,1428
MFD140207600C;1;0,8901
MFD1402076B0C;1;0,8901
MFD1402076C0C;3;0,989
MFD1402164A0C;1;1,2857
MFD1402212D0B;2;1,099
MFD1402213B0C;2;0,6923
MFD1402327A0B;1;0,8023
MFD1402327B0B;2;0,8023
MFD140233000A;1;1,3957
MFD144102200E;13;0,3956
MFD1441025C0F;2;1,8791
MFD144102900E;3;1,1868
MFD1441029B0E;26;4,4505
MFD1441030ADF;6;0,0001
MFD1441030AKE;12;0,0001
MFD1441030ALE;3;0,0001
MFD1441030AME;1;0,0001
MFD1441030ANE;3;0,0001
MFD1441030H0F;3;0,0001
MFD1441030J0F;4;0,0001
MFD1441030S0F;3;0,0001
MFD144103400G;1;12,0658
MFD1441034AAE;2;12,4614
MFD1441034ABF;4;12,5603
MFD1441034ACE;1;12,5603
MFD1441034N0G;5;12,3625
MFD144105900E;24;1,0879
MFD144107600E;5;1,3846
MFD1441076A0E;14;1,4835
MFD1441076C0F;2;2,5714
MFD1441076D0E;3;2,5714
MFD1441076F0F;2;2,5714
MFD1441076G0F;5;2,967
MFD1441076H0F;12;2,967
MFD1441076K0F;2;2,967
MFD1441081C0B;3;0,5934
MFD1441081D0A;15;0,1978
MFD1441082H0D;2;7,1719
MFD1441082J0D;12;7,1719
MFD1441082K0D;3;7,1719
MFD1441082L0D;2;7,1719
MFD1441082M0B;3;6,923
MFD1441082N0B;4;6,923
MFD1441082P0B;2;7,3186
MFD1441082Q0B;1;7,3186
MFD1441082S0B;5;7,3197
MFD1441082T0B;0;7,3197
MFD1441087ADE;2;0,2967
MFD1441087D0G;9;11,6702
MFD1441087E0G;5;12,0658
MFD1441087F0H;2;12,0658
MFD1441087K0H;2;13,1537
MFD1441087Q0E;2;13,1537
MFD1441087R0E;4;11,6702
MFD1441097A0D;5;0,0001
MFD1441097C0D;2;0,0001
MFD1441097D0A;41;1,5824
MFD1441097F0A;7;0,0001
MFD1441100AAD;2;1,2857
MFD1441100Q0D;15;1,2857
MFD1441100S0D;4;1,2857
MFD1441124ACA;10;0,0001
MFD1441124ADA;53;0,989
MFD1441128ABA;3;0,0001
MFD1441128B0D;13;0,0001
MFD1441128C0D;4;0,0001
MFD1441128D0D;4;0,0001
MFD1441128H0D;5;0,0001
MFD1441128J0D;2;0,0001
MFD1441128L0B;5;0,0001
MFD1441128P0B;1;0,0001
MFD144112900A;28;1,0834
MFD1441129A0A;1;2,0724
