LSLANR;LSLORT;LSTENR;TEBEZ1;TEBEZ2;LSLGBE;TEPDIM;TEINPR;WERT;TEWKSF
F5;80O7-3;3AP0200050230;Zuschnitt   !   K03ORGN140;907647.01,15.00;1405;3;3,47;4,8754;3000
F5;W5;3AP0200050240;Zuschnitt   !   K03ORBR152;907647.01,15.00;25;3;0;0;2700
F5;63D3-3;3AP0200050320;Zuschnitt        25RTSW076;907327.01,105118.01;3064;3;13,01;39,8626;225
F5;62D4-1;3AP0200050510;Zuschnitt        40RTWS080;906966.01,105119.01;1089;3;19,6;21,3444;225
F5;62D4-3;3AP0200050570;Zuschnitt        40RT00072;105119.01,906966.01;3389;3;18,02;61,0698;225
F5;62D2-3;3AP0200051059;Zuschnitt   B    25WS00519;105115.01,907327.01;3066;3;65,63;201,2216;150
F5;80O1-4;3AP0200052103;Zuschnitt   !    03ORRT097;907479.01,907647.01;3382;3;4,61;15,591;
F5;80O2-4;3AP0200052104;Zuschnitt   !    03ORBR097;907479.01,907647.01  RI_RT;5189;3;4,61;23,9213;
F5;80O4-3;3AP0201605022;Zuschnitt   !   K03ORVI132;907647.01,15.00;4650;3;3,3;15,345;3000
F5;80O5-3;3AP0201605023;Zuschnitt   !   K03ORBR132;907647.01,15.00      RI_RT;5250;3;3,3;17,325;3000
F5;62D5-1;3AP0202205002;Zuschnitt   B    05WS00504;103358.01,907649.01;1677;3;15,18;25,4569;600
F5;65D3-2;3AP0202205004;Zuschnitt   B    05WS00514;105975.02,907649.01;1841;3;16,9;31,1129;600
F5;52O2-4;3AP0204350007;Zuschnitt        05GRSW065;105112.01,105975.01;665;3;4,21;2,7997;3600
F5;64D3-2;3AP0204352003;Zuschnitt   B    25GE00057;105115.01,105115.01;127;3;9,44;1,1989;996
F5;50O3-4;3AP0204352004;Zuschnitt   B    15GE00057;105115.01,105115.01;918;3;6,74;6,1873;1548
F5;W5;3AP0208205002;Zuschnitt       K10BR00031;105112.01,15.00      RI_GE;173;3;2,66;0,4602;4400
F5;W5;3AP0208205003;Zuschnitt       K10BR00055;105112.01,15.00;625;3;3,88;2,425;2600
F5;51O3-4;3AP0208205010;Zuschnitt       K03RTBL415;103357.01,15.00;2007;3;9,52;19,1066;900
F5;51O4-3;3AP0208205014;Zuschnitt        05SWWS340;105112.01,907649.01;1035;3;10,93;11,3126;800
